  step       loss           lr         梯度範數            秒
     1     8.8149    3.000e-05       0.8127          0.4
    20     7.6088    6.000e-04       1.0630          0.9
    40     6.9442    1.200e-03       0.3753          1.5
    60     6.7764    1.800e-03       0.3551          2.0
    80     6.6475    2.400e-03       0.4682          2.5
   100     6.3556    3.000e-03       0.4401          3.1
   120     6.0609    3.000e-03       0.3703          3.6
   140     5.8685    2.999e-03       0.3927          4.1
   160     5.8106    2.997e-03       0.4225          4.6
   180     5.6716    2.995e-03       0.4176          5.2
   200     5.3237    2.992e-03       0.3945          5.7
   220     5.1269    2.989e-03       0.4324          6.2
   240     5.1124    2.985e-03       0.4470          6.8
   260     4.9589    2.980e-03       0.4222          7.3
   280     4.8606    2.974e-03       0.4370          7.8
   300     4.7059    2.968e-03       0.4264          8.3
   320     4.7130    2.962e-03       0.4576          8.9
   340     4.6677    2.955e-03       0.4227          9.4
   360     4.5695    2.947e-03       0.4188          9.9
   380     4.3777    2.938e-03       0.4203         10.5
   400     4.3065    2.929e-03       0.3945         11.0
   420     4.3672    2.920e-03       0.4286         11.5
   440     4.2780    2.909e-03       0.4137         12.0
   460     4.3467    2.899e-03       0.4286         12.6
   480     4.2454    2.887e-03       0.3993         13.1
   500     4.2052    2.875e-03       0.3919         13.6
   520     4.2415    2.863e-03       0.3962         14.2
   540     4.0882    2.850e-03       0.3906         14.7
   560     4.0129    2.836e-03       0.3912         15.2
   580     3.9750    2.822e-03       0.4078         15.8
   600     3.9605    2.807e-03       0.4004         16.3
   620     3.9780    2.791e-03       0.3940         16.8
   640     4.0191    2.776e-03       0.3891         17.3
   660     3.8831    2.759e-03       0.4031         17.9
   680     3.8110    2.742e-03       0.3840         18.4
   700     3.9293    2.725e-03       0.3802         18.9
   720     3.8504    2.707e-03       0.3645         19.5
   740     3.8166    2.688e-03       0.3773         20.0
   760     3.8408    2.669e-03       0.4088         20.5
   780     3.7523    2.650e-03       0.3608         21.0
   800     3.7356    2.630e-03       0.3703         21.6
   820     3.8034    2.610e-03       0.3821         22.1
   840     3.7543    2.589e-03       0.3591         22.6
   860     3.7785    2.568e-03       0.3656         23.2
   880     3.5811    2.546e-03       0.3530         23.7
   900     3.6845    2.524e-03       0.3676         24.2
   920     3.5502    2.501e-03       0.3586         24.7
   940     3.6757    2.479e-03       0.3618         25.3
   960     3.6738    2.455e-03       0.3606         25.8
   980     3.6270    2.432e-03       0.3596         26.3
  1000     3.6166    2.408e-03       0.3512         26.8
  1020     3.6451    2.383e-03       0.3577         27.4
  1040     3.5097    2.358e-03       0.3455         27.9
  1060     3.4794    2.333e-03       0.3603         28.4
  1080     3.5001    2.308e-03       0.3556         28.9
  1100     3.4942    2.282e-03       0.3524         29.5
  1120     3.3728    2.256e-03       0.3519         30.0
  1140     3.3711    2.230e-03       0.3458         30.5
  1160     3.4490    2.204e-03       0.3627         31.0
  1180     3.3827    2.177e-03       0.3567         31.6
  1200     3.3466    2.150e-03       0.3515         32.1
  1220     3.5776    2.122e-03       0.3493         32.6
  1240     3.3516    2.095e-03       0.3476         33.1
  1260     3.2695    2.067e-03       0.3660         33.7
  1280     3.2857    2.039e-03       0.3532         34.2
  1300     3.2918    2.011e-03       0.3578         34.7
  1320     3.4276    1.983e-03       0.3519         35.2
  1340     3.3499    1.954e-03       0.3501         35.8
  1360     3.4140    1.926e-03       0.3381         36.3
  1380     3.1904    1.897e-03       0.3478         36.8
  1400     3.4333    1.868e-03       0.3564         37.4
  1420     3.2612    1.839e-03       0.3432         37.9
  1440     3.1896    1.810e-03       0.3432         38.4
  1460     3.3254    1.781e-03       0.3497         38.9
  1480     3.3128    1.752e-03       0.3488         39.5
  1500     3.1605    1.723e-03       0.3512         40.0
  1520     3.2313    1.694e-03       0.3493         40.5
  1540     3.2187    1.665e-03       0.3551         41.0
  1560     3.2272    1.635e-03       0.3396         41.6
  1580     3.2236    1.606e-03       0.3722         42.1
  1600     3.1285    1.577e-03       0.3571         42.6
  1620     3.2310    1.548e-03       0.3521         43.1
